batch_idx,k,m,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
23,2,30,50,5000,0.533817,9366.51,0.196578,25435.20,0.197045,25374.85,0.119103,41980.41,25
24,2,30,50,5000,0.529079,9450.39,0.195037,25636.10,0.197856,25270.87,0.118241,42286.49,25
25,2,30,50,5000,0.529641,9440.35,0.197625,25300.49,0.193280,25869.20,0.114931,43504.29,25
26,2,30,50,5000,0.550574,9081.43,0.195246,25608.69,0.197633,25299.37,0.122597,40784.05,25
27,2,30,50,5000,0.535660,9334.27,0.193923,25783.43,0.194197,25747.01,0.113891,43901.70,25
28,2,30,50,5000,0.532585,9388.17,0.196352,25464.49,0.198917,25136.09,0.122732,40739.07,26
29,2,30,50,5000,0.531358,9409.85,0.196870,25397.50,0.194978,25643.87,0.121961,40996.71,25
30,2,30,50,5000,0.528659,9457.90,0.196088,25498.82,0.195290,25602.92,0.121489,41156.08,25
31,2,30,50,5000,0.550755,9078.44,0.198486,25190.73,0.193954,25779.33,0.121320,41213.19,26
32,2,30,50,5000,0.529670,9439.83,0.194233,25742.30,0.194029,25769.32,0.119010,42013.44,25
33,2,30,50,5000,0.528495,9460.82,0.197882,25267.59,0.194940,25648.89,0.120184,41602.90,25
34,2,30,50,5000,0.524426,9534.24,0.197137,25363.01,0.197252,25348.23,0.121448,41169.84,25
35,2,30,50,5000,0.532758,9385.13,0.199081,25115.35,0.194449,25713.70,0.114241,43767.25,25
36,2,30,50,5000,0.529395,9444.75,0.201066,24867.46,0.199778,25027.72,0.129206,38697.97,26
37,2,30,50,5000,0.527251,9483.15,0.195362,25593.47,0.197010,25379.38,0.120228,41587.55,25
